record_id,company_ticker,company_name,isin,shareholder_name,ownership_pct,shares_held,filing_type,filing_date,source,currency,has_error,error_type
REC00014,MSFT,Microsoft Corp.,US5949181045,Franklin Templeton,10.5625,470838794,13F Filing,1995-01-01,SEBI Submission,USD,True,STALE_DATE
REC00015,?????,Microsoft Corp.,US5949181045,UBS Group AG,11.7729,151196751,Exchange Notification,2024-08-19,SEBI Submission,USD,True,INVALID_TICKER
REC00016,MSFT,Microsoft Corp.,US5949181045,Amundi Asset Management,12.4999,239151092,Quarterly Report,2025-02-10,TSX Filing,USD,False,
REC00017,MSFT,Microsoft Corp.,US5949181045,Wellington Management,2.8308,45678604,13F Filing,2025-10-31,LSE Filing,USD,False,
REC00018,MSFT,Microsoft Corp.,US5949181045,Capital Group,37.4465,1572641904,13F Filing,2024-08-01,TSX Filing,USD,False,
REC00019,GOOGL,Alphabet Inc.,US02079K3059,Goldman Sachs Group,3.6534,107728846,Annual Report,2025-06-26,ASX Notification,USD,False,
REC00020,GOOGL,Alphabet Inc.,,Geode Capital Management,7.3883,315672707,Exchange Notification,2024-10-19,SEC EDGAR,USD,True,NULL_ISIN
REC00021,GOOGL,Alphabet Inc.,US02079K3059,Capital Group,4.6288,219351832,13F Filing,2024-06-06,ASX Notification,USD,False,
REC00022,GOOGL,Alphabet Inc.,US02079K3059,Legal & General Group,7.488,270729174,Exchange Notification,2025-10-17,SEBI Submission,USD,False,
REC00023,GOOGL,Alphabet Inc.,US02079K3059,Dimensional Fund Advisors,6.8232,291688998,Exchange Notification,2024-09-16,ASX Notification,USD,False,
REC00024,GOOGL,Alphabet Inc.,US02079K3059,Vanguard Group,1.5721,77738765,Annual Report,2024-07-17,SEBI Submission,USD,False,
REC00025,GOOGL,Alphabet Inc.,US02079K3059,JPMorgan Asset Mgmt,6.5853,204048519,Annual Report,2025-11-28,SEBI Submission,USD,False,
REC00026,GOOGL,Alphabet Inc.,US02079K3059,BlackRock Inc.,6.5019,310406018,13F Filing,2025-07-20,SEC EDGAR,USD,False,
REC00027,GOOGL,Alphabet Inc.,US02079K3059,Bank of America Corp.,5.6489,114928881,Annual Report,2025-12-25,TSX Filing,USD,False,
REC00028,GOOGL,Alphabet Inc.,US02079K3059,State Street Corp.,3.7525,169042364,Annual Report,2024-09-23,LSE Filing,USD,False,
REC00029,GOOGL,Alphabet Inc.,US02079K3059,Morgan Stanley,7.9028,122606975,Quarterly Report,2024-09-06,LSE Filing,USD,False,
REC00030,GOOGL,Alphabet Inc.,US02079K3059,Wellington Management,-17.0621,58757078,Quarterly Report,2025-08-18,ASX Notification,USD,True,NEGATIVE_OWNERSHIP
REC00031,GOOGL,Alphabet Inc.,US02079K3059,Amundi Asset Management,8.523,361702424,Exchange Notification,2024-03-22,SEBI Submission,USD,False,
REC00032,GOOGL,Alphabet Inc.,US02079K3059,Fidelity Investments,26.7841,726829106,13F Filing,2024-12-29,ASX Notification,USD,False,
REC00033,AMZN,Amazon.com Inc.,US0231351067,Fidelity Investments,1.8042,25351287,Annual Report,2024-05-17,TSX Filing,USD,False,
REC00033,AMZN,Amazon.com Inc.,US0231351067,Geode Capital Management,1.8716,47196071,Quarterly Report,2025-01-26,TSX Filing,USD,True,DUPLICATE_FILING
REC00035,AMZN,Amazon.com Inc.,US0231351067,Franklin Templeton,1.6856,79394298,Annual Report,2024-05-02,SEC EDGAR,USD,False,
REC00036,AMZN,Amazon.com Inc.,US0231351067,State Street Corp.,3.6103,45501674,Quarterly Report,2025-04-09,SEC EDGAR,USD,False,
REC00037,AMZN,Amazon.com Inc.,US0231351067,Morgan Stanley,4.9836,103059393,Exchange Notification,2025-09-09,ASX Notification,USD,False,
REC00038,AMZN,Amazon.com Inc.,US0231351067,BlackRock Inc.,3.4784,101805134,Exchange Notification,2025-01-14,LSE Filing,USD,False,
REC00039,AMZN,Amazon.com Inc.,US0231351067,Invesco Ltd.,5.2251,114761081,Quarterly Report,2025-07-10,SEC EDGAR,USD,False,
REC00040,AMZN,Amazon.com Inc.,US0231351067,Northern Trust Corp.,5.9043,171415530,Annual Report,2026-01-30,ASX Notification,USD,False,
REC00041,AMZN,Amazon.com Inc.,US0231351067,Amundi Asset Management,7.797,357937748,Annual Report,2025-12-17,LSE Filing,USD,False,
REC00042,AMZN,Amazon.com Inc.,US0231351067,UBS Group AG,9.5356,163468864,Quarterly Report,1995-01-01,TSX Filing,USD,True,STALE_DATE
REC00043,AMZN,Amazon.com Inc.,US0231351067,Goldman Sachs Group,6.8708,131784529,Quarterly Report,2026-01-21,LSE Filing,USD,False,
REC00044,AMZN,Amazon.com Inc.,,Bank of America Corp.,4.0049,105235842,Annual Report,2025-02-16,SEBI Submission,USD,True,NULL_ISIN
REC00045,AMZN,Amazon.com Inc.,US0231351067,Vanguard Group,117.8372,378725508,Quarterly Report,2025-06-03,TSX Filing,USD,True,OWNERSHIP_EXCEEDS_100
REC00046,AMZN,Amazon.com Inc.,US0231351067,T. Rowe Price,8.1397,324923614,Quarterly Report,2025-10-15,LSE Filing,USD,False,
REC00047,AMZN,Amazon.com Inc.,US0231351067,Wellington Management,27.483,625059725,Exchange Notification,2026-01-22,ASX Notification,USD,False,
REC00048,TSLA,Tesla Inc.,US88160R1014,Morgan Stanley,10.8648,378794559,Annual Report,2024-06-26,SEC EDGAR,USD,False,
REC00049,TSLA,Tesla Inc.,US88160R1014,Vanguard Group,2.2697,63564248,13F Filing,2025-06-28,LSE Filing,USD,False,
REC00050,TSLA,Tesla Inc.,US88160R1014,Franklin Templeton,2.382,92337066,13F Filing,2025-07-21,SEBI Submission,USD,False,
REC00051,TSLA,Tesla Inc.,US88160R1014,Dimensional Fund Advisors,14.7692,398751750,Exchange Notification,2024-05-04,SEBI Submission,USD,False,
REC00052,TSLA,Tesla Inc.,US88160R1014,T. Rowe Price,7.9316,235073952,13F Filing,2026-01-07,SEC EDGAR,USD,False,
REC00053,TSLA,Tesla Inc.,US88160R1014,BlackRock Inc.,19.4791,578202278,Annual Report,2026-01-06,ASX Notification,USD,False,
REC00054,TSLA,Tesla Inc.,US88160R1014,Northern Trust Corp.,12.6951,243173471,13F Filing,2025-11-07,SEBI Submission,USD,False,
REC00055,TSLA,Tesla Inc.,US88160R1014,Norges Bank Investment,29.6085,1416258292,Annual Report,2025-07-15,SEBI Submission,USD,False,
REC00056,JPM,JPMorgan Chase,US46625H1005,T. Rowe Price,3.3072,162069779,Annual Report,2025-12-18,TSX Filing,USD,False,
REC00057,JPM,JPMorgan Chase,US46625H1005,Bank of America Corp.,7.9862,364332276,13F Filing,2026-02-05,SEC EDGAR,USD,False,
REC00058,JPM,JPMorgan Chase,US46625H1005,Norges Bank Investment,6.9721,169604310,Exchange Notification,2024-06-08,SEBI Submission,USD,False,
REC00059,JPM,JPMorgan Chase,US46625H1005,Invesco Ltd.,2.6785,45373503,Quarterly Report,2024-09-04,TSX Filing,USD,False,
REC00060,JPM,JPMorgan Chase,US46625H1005,BlackRock Inc.,3.8617,131648313,Annual Report,2025-11-28,SEC EDGAR,USD,False,
REC00061,JPM,JPMorgan Chase,US46625H1005,,3.4466,165192541,Exchange Notification,2024-09-10,SEC EDGAR,USD,True,MISSING_SHAREHOLDER
REC00062,JPM,JPMorgan Chase,US46625H1005,UBS Group AG,5.0858,233161466,13F Filing,2024-08-03,ASX Notification,USD,False,
REC00063,JPM,JPMorgan Chase,US46625H1005,Northern Trust Corp.,9.6347,157629277,Quarterly Report,2025-11-12,SEC EDGAR,USD,False,
REC00064,JPM,JPMorgan Chase,US46625H1005,Capital Group,12.3804,287715485,13F Filing,2026-02-10,SEBI Submission,USD,False,
REC00065,JPM,JPMorgan Chase,US46625H1005,Franklin Templeton,8.2635,157194234,Exchange Notification,2024-05-09,SEC EDGAR,USD,False,
REC00066,JPM,JPMorgan Chase,US46625H1005,Vanguard Group,5.6916,143373575,Quarterly Report,2024-06-25,LSE Filing,USD,False,
REC00067,JPM,JPMorgan Chase,US46625H1005,State Street Corp.,30.6917,0,Exchange Notification,2025-10-07,LSE Filing,USD,True,ZERO_SHARES
REC00068,?????,Berkshire Hathaway,US0846701086,BlackRock Inc.,2.6262,102907859,13F Filing,2026-02-22,SEC EDGAR,USD,True,INVALID_TICKER
REC00069,BRK,Berkshire Hathaway,US0846701086,T. Rowe Price,7.0018,333765393,13F Filing,2025-09-21,ASX Notification,USD,False,
REC00070,BRK,Berkshire Hathaway,US0846701086,Morgan Stanley,118.5109,77234431,Annual Report,2025-12-01,ASX Notification,USD,True,OWNERSHIP_EXCEEDS_100
REC00071,BRK,Berkshire Hathaway,US0846701086,UBS Group AG,6.7412,193232259,13F Filing,2025-05-05,TSX Filing,USD,False,
REC00072,BRK,Berkshire Hathaway,US0846701086,Geode Capital Management,7.1655,258219339,Annual Report,1995-01-01,ASX Notification,USD,True,STALE_DATE
REC00073,BRK,Berkshire Hathaway,US0846701086,Capital Group,2.9702,53950181,13F Filing,2026-02-05,TSX Filing,USD,False,
REC00074,BRK,Berkshire Hathaway,US0846701086,State Street Corp.,6.2759,63214879,Exchange Notification,2025-03-15,TSX Filing,USD,False,
REC00075,BRK,Berkshire Hathaway,US0846701086,JPMorgan Asset Mgmt,4.5232,58825808,13F Filing,2024-06-22,SEBI Submission,USD,False,
REC00076,BRK,Berkshire Hathaway,US0846701086,Goldman Sachs Group,3.8257,147259896,Annual Report,2025-05-19,ASX Notification,USD,False,
REC00077,BRK,Berkshire Hathaway,US0846701086,Vanguard Group,2.1631,50364917,Quarterly Report,2025-04-22,TSX Filing,USD,False,
REC00078,BRK,Berkshire Hathaway,US0846701086,Wellington Management,10.6056,423639348,13F Filing,2024-09-01,LSE Filing,USD,False,
REC00079,BRK,Berkshire Hathaway,US0846701086,Amundi Asset Management,5.947,108470124,Quarterly Report,2024-05-11,TSX Filing,USD,False,
REC00080,BRK,Berkshire Hathaway,US0846701086,Dimensional Fund Advisors,138.632,392633645,Exchange Notification,2024-06-30,ASX Notification,USD,True,OWNERSHIP_EXCEEDS_100
REC00081,BRK,Berkshire Hathaway,US0846701086,Norges Bank Investment,26.5016,607567699,Quarterly Report,1995-01-01,SEC EDGAR,USD,True,STALE_DATE
REC00082,JNJ,Johnson & Johnson,US4781601046,Invesco Ltd.,6.0021,182505557,Annual Report,2024-12-11,TSX Filing,USD,False,
REC00083,JNJ,Johnson & Johnson,US4781601046,Wellington Management,3.4994,168178681,Exchange Notification,2024-04-08,TSX Filing,USD,False,
REC00084,JNJ,Johnson & Johnson,US4781601046,UBS Group AG,6.512,203391495,Quarterly Report,2025-07-16,LSE Filing,USD,False,
REC00085,JNJ,Johnson & Johnson,US4781601046,Morgan Stanley,148.1437,242423160,Annual Report,2025-12-03,TSX Filing,USD,True,OWNERSHIP_EXCEEDS_100
REC00086,JNJ,Johnson & Johnson,US4781601046,Bank of America Corp.,2.2662,43962365,Exchange Notification,2024-04-09,ASX Notification,USD,False,
REC00087,JNJ,Johnson & Johnson,US4781601046,Geode Capital Management,10.3224,309179268,Annual Report,2024-08-29,LSE Filing,USD,False,
REC00087,JNJ,Johnson & Johnson,US4781601046,Dimensional Fund Advisors,3.694,182502206,Annual Report,2024-12-10,LSE Filing,USD,True,DUPLICATE_FILING
REC00089,JNJ,Johnson & Johnson,US4781601046,Legal & General Group,4.8435,215151083,Quarterly Report,2024-05-08,ASX Notification,USD,False,
REC00090,JNJ,Johnson & Johnson,US4781601046,Fidelity Investments,11.685,397356119,13F Filing,2024-12-24,ASX Notification,USD,False,
REC00091,JNJ,Johnson & Johnson,US4781601046,Northern Trust Corp.,3.4807,156646337,Quarterly Report,2024-09-07,TSX Filing,USD,False,
REC00092,JNJ,Johnson & Johnson,US4781601046,Norges Bank Investment,2.386,115804020,Exchange Notification,2024-11-21,TSX Filing,USD,False,
REC00093,JNJ,Johnson & Johnson,US4781601046,State Street Corp.,-21.4467,823284853,Exchange Notification,2024-06-08,SEBI Submission,USD,True,NEGATIVE_OWNERSHIP
REC00094,V,Visa Inc.,US92826C8394,Geode Capital Management,5.0854,52141799,13F Filing,2025-05-21,TSX Filing,USD,False,
REC00095,V,Visa Inc.,US92826C8394,Northern Trust Corp.,5.2296,243988610,Quarterly Report,2024-09-17,ASX Notification,USD,False,
REC00096,V,Visa Inc.,US92826C8394,Bank of America Corp.,1.8468,81913107,Exchange Notification,2024-11-08,LSE Filing,USD,False,
REC00097,V,Visa Inc.,US92826C8394,State Street Corp.,3.8722,84113796,Quarterly Report,2024-11-10,SEC EDGAR,USD,False,
REC00098,V,Visa Inc.,US92826C8394,Invesco Ltd.,4.828,128913826,13F Filing,2024-05-07,TSX Filing,USD,False,
REC00099,?????,Visa Inc.,US92826C8394,Fidelity Investments,4.1667,171265343,Exchange Notification,2024-11-29,LSE Filing,USD,True,INVALID_TICKER
REC00100,V,Visa Inc.,US92826C8394,Capital Group,2.9127,106971042,Annual Report,2025-02-12,ASX Notification,USD,False,
REC00101,V,Visa Inc.,US92826C8394,T. Rowe Price,4.6542,159361907,Annual Report,2025-12-27,TSX Filing,USD,False,
REC00101,V,Visa Inc.,US92826C8394,JPMorgan Asset Mgmt,8.8556,140168636,Quarterly Report,2025-09-17,SEC EDGAR,USD,True,DUPLICATE_FILING
REC00103,V,Visa Inc.,US92826C8394,Franklin Templeton,6.3234,133889322,Quarterly Report,2025-04-21,LSE Filing,USD,False,
REC00104,V,Visa Inc.,US92826C8394,Vanguard Group,7.7215,228009620,13F Filing,2025-04-11,TSX Filing,USD,False,
REC00104,V,Visa Inc.,US92826C8394,Legal & General Group,9.7469,213954500,Quarterly Report,2025-07-07,SEC EDGAR,USD,True,DUPLICATE_FILING
REC00106,V,Visa Inc.,US92826C8394,Morgan Stanley,9.2215,278484918,Annual Report,2024-09-16,SEC EDGAR,USD,False,
REC00107,V,Visa Inc.,US92826C8394,Dimensional Fund Advisors,5.786,144827527,Exchange Notification,2024-05-26,SEC EDGAR,USD,False,
REC00108,V,Visa Inc.,,Norges Bank Investment,19.7495,860163876,Annual Report,2026-02-19,LSE Filing,USD,True,NULL_ISIN
REC00109,NVDA,NVIDIA Corp.,US67066G1040,BlackRock Inc.,7.3215,286210939,Quarterly Report,2025-02-09,LSE Filing,USD,False,
REC00110,NVDA,NVIDIA Corp.,US67066G1040,,2.8034,37184364,Exchange Notification,2025-12-08,SEBI Submission,USD,True,MISSING_SHAREHOLDER
REC00111,NVDA,NVIDIA Corp.,US67066G1040,Geode Capital Management,-1.4936,309505643,Annual Report,2024-08-20,SEC EDGAR,USD,True,NEGATIVE_OWNERSHIP
REC00112,NVDA,NVIDIA Corp.,US67066G1040,Franklin Templeton,8.1586,203249393,Quarterly Report,2024-05-14,SEBI Submission,USD,False,
REC00113,NVDA,NVIDIA Corp.,US67066G1040,,2.5564,33135211,13F Filing,2026-03-10,TSX Filing,USD,True,MISSING_SHAREHOLDER
REC00114,NVDA,NVIDIA Corp.,US67066G1040,Morgan Stanley,10.1719,460978748,Quarterly Report,2025-12-04,TSX Filing,USD,False,
REC00114,NVDA,NVIDIA Corp.,US67066G1040,Vanguard Group,12.0801,308717316,Quarterly Report,2024-03-28,LSE Filing,USD,True,DUPLICATE_FILING
REC00116,NVDA,NVIDIA Corp.,US67066G1040,Invesco Ltd.,104.2962,77386066,Exchange Notification,2024-10-04,SEBI Submission,USD,True,OWNERSHIP_EXCEEDS_100
REC00117,NVDA,NVIDIA Corp.,US67066G1040,Fidelity Investments,1.8686,68116512,Quarterly Report,2024-12-01,TSX Filing,USD,False,
REC00118,NVDA,NVIDIA Corp.,US67066G1040,Norges Bank Investment,8.1588,370940094,13F Filing,2025-04-26,LSE Filing,USD,False,
REC00119,NVDA,NVIDIA Corp.,US67066G1040,Legal & General Group,37.5315,1714424857,Annual Report,1995-01-01,TSX Filing,USD,True,STALE_DATE
REC00120,META,Meta Platforms,US30303M1027,Bank of America Corp.,4.1934,141924098,Exchange Notification,2024-04-14,TSX Filing,USD,False,
REC00121,META,Meta Platforms,US30303M1027,Franklin Templeton,3.5877,135404526,Quarterly Report,2024-12-19,SEC EDGAR,USD,False,
REC00122,META,Meta Platforms,US30303M1027,,3.946,55230627,13F Filing,2025-08-08,TSX Filing,USD,True,MISSING_SHAREHOLDER
REC00123,META,Meta Platforms,,Morgan Stanley,7.1838,285283296,Exchange Notification,2025-05-13,ASX Notification,USD,True,NULL_ISIN
REC00124,META,Meta Platforms,US30303M1027,BlackRock Inc.,10.3751,268189152,Quarterly Report,2024-09-02,ASX Notification,USD,False,
REC00125,META,Meta Platforms,US30303M1027,Geode Capital Management,7.2167,178716289,Quarterly Report,2024-09-05,SEBI Submission,USD,False,
REC00126,META,Meta Platforms,US30303M1027,UBS Group AG,7.2859,0,Quarterly Report,2025-06-18,SEBI Submission,USD,True,ZERO_SHARES
REC00127,META,Meta Platforms,US30303M1027,T. Rowe Price,119.4405,81075696,Exchange Notification,2025-11-19,LSE Filing,USD,True,OWNERSHIP_EXCEEDS_100
REC00128,META,Meta Platforms,US30303M1027,State Street Corp.,5.3467,125929119,Annual Report,2024-09-20,LSE Filing,USD,False,
REC00129,META,Meta Platforms,US30303M1027,Amundi Asset Management,10.4346,190187511,Exchange Notification,2024-11-12,SEBI Submission,USD,False,
REC00130,META,Meta Platforms,US30303M1027,Fidelity Investments,36.5318,1502212774,13F Filing,2025-12-10,LSE Filing,USD,False,
REC00131,UNH,UnitedHealth Group,US91324P1021,Geode Capital Management,3.4963,164363578,Quarterly Report,2025-11-26,SEC EDGAR,USD,False,
REC00132,UNH,UnitedHealth Group,US91324P1021,Goldman Sachs Group,8.3664,227651864,Quarterly Report,2026-01-06,ASX Notification,USD,False,
REC00133,UNH,UnitedHealth Group,US91324P1021,T. Rowe Price,6.1652,228325020,Annual Report,2025-10-18,LSE Filing,USD,False,
REC00134,UNH,UnitedHealth Group,US91324P1021,Invesco Ltd.,139.6851,324059750,13F Filing,2025-12-25,LSE Filing,USD,True,OWNERSHIP_EXCEEDS_100
REC00135,UNH,UnitedHealth Group,US91324P1021,BlackRock Inc.,2.3046,34770550,Quarterly Report,2024-07-10,ASX Notification,USD,False,
REC00136,UNH,UnitedHealth Group,US91324P1021,Franklin Templeton,1.6085,70712973,Exchange Notification,2024-10-03,TSX Filing,USD,False,
REC00137,UNH,UnitedHealth Group,US91324P1021,Northern Trust Corp.,4.4302,130023928,Quarterly Report,2025-05-22,ASX Notification,USD,False,
REC00138,UNH,UnitedHealth Group,US91324P1021,State Street Corp.,7.1394,202888191,13F Filing,2024-08-17,ASX Notification,USD,False,
REC00139,UNH,UnitedHealth Group,US91324P1021,Capital Group,6.0367,75983169,Annual Report,2025-08-22,LSE Filing,USD,False,
REC00140,UNH,UnitedHealth Group,US91324P1021,Dimensional Fund Advisors,17.1814,367105772,Annual Report,1995-01-01,LSE Filing,USD,True,STALE_DATE
REC00141,UNH,UnitedHealth Group,US91324P1021,Morgan Stanley,5.6714,99052334,Annual Report,2025-10-13,SEC EDGAR,USD,False,
REC00142,UNH,UnitedHealth Group,US91324P1021,UBS Group AG,30.3726,836634410,Quarterly Report,2024-04-16,ASX Notification,USD,False,
REC00143,XOM,Exxon Mobil,US30231G1022,Invesco Ltd.,4.3136,135857334,Quarterly Report,2024-12-29,SEC EDGAR,USD,False,
REC00144,XOM,Exxon Mobil,US30231G1022,Vanguard Group,4.955,176821548,Annual Report,2025-01-04,SEBI Submission,USD,False,
REC00145,XOM,Exxon Mobil,US30231G1022,Geode Capital Management,6.4775,232732064,13F Filing,2026-02-24,SEC EDGAR,USD,False,
REC00146,XOM,Exxon Mobil,US30231G1022,Amundi Asset Management,6.064,120262635,Annual Report,2024-05-03,SEBI Submission,USD,False,
REC00147,?????,Exxon Mobil,US30231G1022,Legal & General Group,1.9005,66041652,Annual Report,2025-09-24,TSX Filing,USD,True,INVALID_TICKER
REC00148,XOM,Exxon Mobil,US30231G1022,Goldman Sachs Group,2.5169,81269007,Quarterly Report,2025-06-11,LSE Filing,USD,False,
REC00149,XOM,Exxon Mobil,US30231G1022,UBS Group AG,3.5601,125100902,Quarterly Report,2024-06-10,TSX Filing,USD,False,
REC00149,XOM,Exxon Mobil,US30231G1022,Norges Bank Investment,6.9498,96733095,Quarterly Report,2025-03-31,TSX Filing,USD,True,DUPLICATE_FILING
REC00151,XOM,Exxon Mobil,US30231G1022,Franklin Templeton,5.7904,140796394,13F Filing,2024-05-05,SEC EDGAR,USD,False,
REC00152,XOM,Exxon Mobil,US30231G1022,Morgan Stanley,3.8316,179469676,Exchange Notification,2025-04-19,TSX Filing,USD,False,
REC00153,XOM,Exxon Mobil,US30231G1022,Fidelity Investments,2.6476,105356098,Quarterly Report,2025-05-31,TSX Filing,USD,False,
REC00154,XOM,Exxon Mobil,US30231G1022,Capital Group,9.2464,415555362,Annual Report,2024-12-12,SEC EDGAR,USD,False,
REC00155,XOM,Exxon Mobil,US30231G1022,Dimensional Fund Advisors,10.1876,239494267,13F Filing,2025-04-25,SEC EDGAR,USD,False,
REC00156,XOM,Exxon Mobil,US30231G1022,JPMorgan Asset Mgmt,14.9609,646021848,Quarterly Report,2024-10-12,SEC EDGAR,USD,False,
REC00157,XOM,Exxon Mobil,US30231G1022,BlackRock Inc.,16.5981,634815884,Quarterly Report,2025-01-23,SEC EDGAR,USD,False,
REC00158,WMT,Walmart Inc.,US9311421039,Legal & General Group,8.1864,377704932,Annual Report,2024-12-05,SEC EDGAR,USD,False,
REC00159,WMT,Walmart Inc.,US9311421039,Goldman Sachs Group,5.2232,197535778,Exchange Notification,2024-10-28,SEBI Submission,USD,False,
REC00160,WMT,Walmart Inc.,US9311421039,Dimensional Fund Advisors,1.7345,55254035,13F Filing,2025-01-21,TSX Filing,USD,False,
REC00161,WMT,Walmart Inc.,US9311421039,Bank of America Corp.,7.2376,219166725,Exchange Notification,2024-12-10,ASX Notification,USD,False,
REC00162,WMT,Walmart Inc.,US9311421039,Vanguard Group,9.1641,148571368,Quarterly Report,2025-09-08,ASX Notification,USD,False,
REC00163,WMT,Walmart Inc.,US9311421039,Fidelity Investments,8.5333,271604528,Exchange Notification,2026-01-10,SEBI Submission,USD,False,
REC00164,WMT,Walmart Inc.,US9311421039,Capital Group,4.758,205479674,Quarterly Report,2025-04-08,ASX Notification,USD,False,
REC00164,WMT,Walmart Inc.,US9311421039,Northern Trust Corp.,1.6681,35822411,Annual Report,2025-06-06,SEBI Submission,USD,True,DUPLICATE_FILING
REC00166,WMT,Walmart Inc.,US9311421039,State Street Corp.,8.1631,375252130,Quarterly Report,2025-10-21,TSX Filing,USD,False,
REC00167,WMT,Walmart Inc.,US9311421039,UBS Group AG,6.256,207272914,Quarterly Report,2025-04-03,SEBI Submission,USD,False,
REC00168,WMT,Walmart Inc.,US9311421039,Geode Capital Management,39.0757,1317033673,Quarterly Report,2024-12-11,SEBI Submission,USD,False,
REC00169,PG,Procter & Gamble,US7427181091,Geode Capital Management,9.003,128586111,Quarterly Report,2026-03-07,LSE Filing,USD,False,
REC00170,PG,Procter & Gamble,US7427181091,Franklin Templeton,7.522,207670742,Exchange Notification,2026-01-05,TSX Filing,USD,False,
REC00171,PG,Procter & Gamble,US7427181091,JPMorgan Asset Mgmt,6.5694,286204158,13F Filing,2025-04-10,ASX Notification,USD,False,
REC00172,PG,Procter & Gamble,US7427181091,Amundi Asset Management,2.7341,108684401,Quarterly Report,2024-05-26,SEC EDGAR,USD,False,
REC00173,PG,Procter & Gamble,US7427181091,UBS Group AG,-45.4937,478687328,13F Filing,2024-05-01,ASX Notification,USD,True,NEGATIVE_OWNERSHIP
REC00174,PG,Procter & Gamble,US7427181091,BlackRock Inc.,2.6551,69885628,13F Filing,2024-06-19,TSX Filing,USD,False,
REC00175,PG,Procter & Gamble,US7427181091,T. Rowe Price,11.8757,563722440,Annual Report,2024-06-28,SEC EDGAR,USD,False,
REC00176,PG,Procter & Gamble,US7427181091,Goldman Sachs Group,5.0992,102408790,13F Filing,1995-01-01,SEC EDGAR,USD,True,STALE_DATE
REC00177,PG,Procter & Gamble,US7427181091,Legal & General Group,2.8303,81056770,Annual Report,2024-06-12,SEC EDGAR,USD,False,
REC00178,PG,Procter & Gamble,US7427181091,Wellington Management,17.7396,515439132,Exchange Notification,2024-04-11,SEBI Submission,USD,False,
REC00179,PG,Procter & Gamble,US7427181091,Morgan Stanley,23.6956,1156387179,Annual Report,2026-02-03,SEBI Submission,USD,False,
REC00180,XOM,Exxon Mobil,US30231G1022,Vanguard Group,2.7003,53815960,Exchange Notification,2024-09-25,TSX Filing,USD,False,
REC00181,NVDA,NVIDIA Corp.,US67066G1040,T. Rowe Price,1.7749,51775734,Quarterly Report,2024-06-26,LSE Filing,USD,False,
REC00182,JNJ,Johnson & Johnson,US4781601046,Franklin Templeton,1.5734,82767882,Quarterly Report,2025-07-04,SEC EDGAR,USD,False,
REC00183,PG,Procter & Gamble,US7427181091,Bank of America Corp.,7.2591,93695248,Annual Report,2024-12-25,SEBI Submission,USD,False,
REC00183,NVDA,NVIDIA Corp.,US67066G1040,Invesco Ltd.,5.292,76377283,Quarterly Report,2025-05-17,LSE Filing,USD,True,DUPLICATE_FILING
REC00185,BRK,Berkshire Hathaway,US0846701086,Dimensional Fund Advisors,1.2999,85407622,13F Filing,2024-04-05,SEBI Submission,USD,False,
REC00186,AAPL,Apple Inc.,US0378331005,,2.5586,187192324,Annual Report,2024-07-10,TSX Filing,USD,True,MISSING_SHAREHOLDER
REC00187,WMT,Walmart Inc.,US9311421039,Invesco Ltd.,6.3181,98924503,13F Filing,2025-08-10,LSE Filing,USD,False,
REC00188,NVDA,NVIDIA Corp.,US67066G1040,Northern Trust Corp.,5.5832,226305382,Exchange Notification,2024-06-17,SEC EDGAR,USD,False,
